                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8178,                 2.9166,                  1.647,                0.00796,                   0.86,                0.23682,                0.08021,                 1.5693,                 3.0776,                 1.5283,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.8628,                 2.9212,                 1.6867,                0.00815,                   0.88,                0.30852,                0.11899,                 1.5023,                 3.0688,                 1.4859,               4.02e-05,               4.02e-05,               4.02e-05
                      3,                 1.4761,                 2.7011,                 1.4524,                0.00815,                   0.88,                0.36779,                0.14114,                 1.4536,                 3.0643,                 1.4531,                3.4e-05,                3.4e-05,                3.4e-05
